arm,config,seed,M,image,PSNR
mave_sens,bw0.5_r1,0,20000,airplane,29.10821903363232
mave_sens,bw0.5_r1,0,20000,car,32.85522638662537
mave_sens,bw0.5_r1,0,20000,ship,27.79940371325482
mave_sens,bw0.5_r1,0,20000,truck,32.964590283729315
mave_sens,bw0.5_r10,0,20000,cat,15.341614712613163
mave_sens,bw0.5_r10,0,20000,deer,16.48711058581539
mave_sens,bw0.5_r10,0,20000,dog,9.429574257711625
mave_sens,bw0.5_r10,0,20000,horse,11.271445008770888
mave_sens,bw0.5_r10,0,20000,airplane,14.39660514210284
mave_sens,bw0.5_r10,0,20000,car,13.912916598516187
mave_sens,bw0.5_r10,0,20000,ship,8.83526852409281
mave_sens,bw0.5_r10,0,20000,truck,13.865107352656453
mave_sens,bw1_r0.1,0,20000,cat,30.249739379064625
mave_sens,bw1_r0.1,0,20000,deer,34.140619794125385
mave_sens,bw1_r0.1,0,20000,dog,25.510852083815493
mave_sens,bw1_r0.1,0,20000,horse,29.835196259738733
mave_sens,bw1_r0.1,0,20000,airplane,28.951548911760945
mave_sens,bw1_r0.1,0,20000,car,32.602387125660925
mave_sens,bw1_r0.1,0,20000,ship,27.696169105339067
mave_sens,bw1_r0.1,0,20000,truck,32.36450734981512
mave_sens,bw1_r10,0,20000,cat,23.56079301745406
mave_sens,bw1_r10,0,20000,deer,20.24755377563078
mave_sens,bw1_r10,0,20000,dog,20.069715605284372
mave_sens,bw1_r10,0,20000,horse,26.665921244240977
mave_sens,bw1_r10,0,20000,airplane,26.820935787505327
mave_sens,bw1_r10,0,20000,car,20.470681473677985
mave_sens,bw1_r10,0,20000,ship,16.542710763414345
mave_sens,bw1_r10,0,20000,truck,14.441975146617242
mave_sens,bw2_r0.1,0,20000,cat,30.86961607894894
mave_sens,bw2_r0.1,0,20000,deer,34.19944543435368
mave_sens,bw2_r0.1,0,20000,dog,25.17607468674869
mave_sens,bw2_r0.1,0,20000,horse,29.300026702078092
mave_sens,bw2_r0.1,0,20000,airplane,29.04996417586684
mave_sens,bw2_r0.1,0,20000,car,33.118276828758056
mave_sens,bw2_r0.1,0,20000,ship,27.926708628274483
mave_sens,bw2_r0.1,0,20000,truck,32.32314306865759
mave_sens,bw2_r1,0,20000,cat,30.831426352750874
mave_sens,bw2_r1,0,20000,deer,34.69034789945081
mave_sens,bw2_r1,0,20000,dog,24.72596503633074
mave_sens,bw2_r1,0,20000,horse,29.427161588575352
mave_sens,bw2_r1,0,20000,airplane,29.17718718026987
mave_sens,bw2_r1,0,20000,car,33.13108409855408
mave_sens,bw2_r1,0,20000,ship,27.203503216077877
mave_sens,bw2_r1,0,20000,truck,32.3470795933595
mave_sens,bw2_r10,0,20000,cat,29.64304304553048
mave_sens,bw2_r10,0,20000,deer,30.909430965610646
mave_sens,bw2_r10,0,20000,dog,23.530231768485873
mave_sens,bw2_r10,0,20000,horse,28.29186971829701
mave_sens,bw2_r10,0,20000,airplane,29.52786665766802
mave_sens,bw2_r10,0,20000,car,32.496014326255306
mave_sens,bw2_r10,0,20000,ship,26.19837549906419
mave_sens,bw2_r10,0,20000,truck,30.36888082779545
mave_sens,bw0.5_r10,1,20000,cat,13.507170469685164
mave_sens,bw0.5_r10,1,20000,deer,18.082347648294192
mave_sens,bw0.5_r10,1,20000,dog,9.239104349880542
mave_sens,bw0.5_r10,1,20000,horse,13.655964134267407
