side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,eta_star,PSNR_rad,audit_status,d_ratio,q_d,q_mean,leak_suspect
64,bern50,0.05,50.0,2048,1,dev_stl_00,PRECORRECT,5.9715,0.00012,,1.0,-1.0,62283892662939.14,2.4,0.0051199999999999996,0.0,0.0,61.99,61.994,1.0,5.9715,,,,,
64,bern50,0.05,50.0,2048,1,dev_stl_00,GI,2.8325,0.00541,,,,,2.4,0.0051199999999999996,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,50.0,2048,1,dev_stl_01,RQL,14.8718,0.14659,,0.34292,-0.02735,0.085985,2.32,0.0051199999999999996,0.0,0.0,162.05,162.049,1.0,14.8811,OK,0.9239,0.875,0.575,False
64,bern50,0.05,50.0,2048,1,dev_stl_01,POISSON-LIN,15.9271,0.15186,,0.31163,-0.07239,0.082157,2.32,0.0051199999999999996,0.0,0.0,131.3,131.301,1.0,15.7122,,,,,
64,bern50,0.05,50.0,2048,1,dev_stl_01,SAT-POISSON,15.8514,0.15088,,0.30765,-0.02725,0.075726,2.32,0.0051199999999999996,0.0,0.0,129.82,129.819,1.0,15.8237,,,,,
64,bern50,0.05,50.0,2048,1,dev_stl_01,PRECORRECT,5.585,8e-05,,1.0,-1.0,60456871354340.53,2.32,0.0051199999999999996,0.0,0.0,61.9,61.904,1.0,5.585,,,,,
64,bern50,0.05,50.0,2048,1,dev_stl_01,GI,2.2042,-0.00475,,,,,2.32,0.0051199999999999996,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,50.0,2048,1,dev_stl_02,RQL,14.6808,0.14033,,0.38479,0.00496,0.116071,2.39,0.0051199999999999996,0.0,0.0,151.53,151.53,1.0,14.6788,OK,1.0264,0.325,0.025,False
64,bern50,0.05,50.0,2048,1,dev_stl_02,POISSON-LIN,14.8685,0.14282,,0.37846,-0.04311,0.106475,2.39,0.0051199999999999996,0.0,0.0,110.82,110.816,1.0,14.8227,,,,,
64,bern50,0.05,50.0,2048,1,dev_stl_02,SAT-POISSON,14.666,0.14063,,0.38545,0.00493,0.099403,2.39,0.0051199999999999996,0.0,0.0,110.11,110.111,1.0,14.6639,,,,,
64,bern50,0.05,50.0,2048,1,dev_stl_02,PRECORRECT,6.3832,0.00016,,1.0,-1.0,63071692664397.34,2.39,0.0051199999999999996,0.0,0.0,62.08,62.084,1.0,6.3832,,,,,
64,bern50,0.05,50.0,2048,1,dev_stl_02,GI,3.6877,0.01117,,,,,2.39,0.0051199999999999996,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,50.0,2048,1,dev_stl_03,RQL,14.7929,0.14914,,0.65853,0.00932,0.079021,2.4,0.0051199999999999996,0.0,0.0,155.74,155.739,1.0,14.7926,OK,1.0044,0.475,0.975,False
64,bern50,0.05,50.0,2048,1,dev_stl_03,POISSON-LIN,14.7792,0.14856,,0.66022,-0.03921,0.072832,2.4,0.0051199999999999996,0.0,0.0,125.67,125.665,1.0,14.7704,,,,,
64,bern50,0.05,50.0,2048,1,dev_stl_03,SAT-POISSON,14.7764,0.14852,,0.6598,0.00928,0.065957,2.4,0.0051199999999999996,0.0,0.0,128.06,128.063,1.0,14.7759,,,,,
64,bern50,0.05,50.0,2048,1,dev_stl_03,PRECORRECT,11.1641,0.00429,,1.0,-1.0,62819264850935.7,2.4,0.0051199999999999996,0.0,0.0,62.0,62.0,1.0,11.1641,,,,,
64,bern50,0.05,50.0,2048,1,dev_stl_03,GI,9.1497,0.00571,,,,,2.4,0.0051199999999999996,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,50.0,2048,1,dev_text,RQL,13.0693,0.02708,,0.97393,-0.01288,0.091415,2.35,0.0051199999999999996,0.0,0.0,158.83,158.825,1.0,13.0692,OK,1.0863,0.125,0.675,False
64,bern50,0.05,50.0,2048,1,dev_text,POISSON-LIN,13.069,0.02707,,0.97403,-0.05932,0.08768,2.35,0.0051199999999999996,0.0,0.0,129.16,129.161,1.0,13.0683,,,,,
64,bern50,0.05,50.0,2048,1,dev_text,SAT-POISSON,13.0693,0.02708,,0.97393,-0.01286,0.080597,2.35,0.0051199999999999996,0.0,0.0,128.05,128.05,1.0,13.0693,,,,,
64,bern50,0.05,50.0,2048,1,dev_text,PRECORRECT,12.8398,0.72447,,1.0,-1.0,61283261491608.59,2.35,0.0051199999999999996,0.0,0.0,62.13,62.131,1.0,12.8398,,,,,
64,bern50,0.05,50.0,2048,1,dev_text,GI,12.732,0.01363,,,,,2.35,0.0051199999999999996,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,50.0,2048,1,dev_fine_lines,RQL,6.0861,0.00364,,0.75025,0.00327,0.070474,2.39,0.0051199999999999996,0.0,0.0,159.53,159.527,1.0,6.0861,OK,0.9548,0.8,0.9,False
64,bern50,0.05,50.0,2048,1,dev_fine_lines,POISSON-LIN,6.0876,0.00368,,0.75069,-0.04466,0.066045,2.39,0.0051199999999999996,0.0,0.0,131.07,131.068,1.0,6.081,,,,,
64,bern50,0.05,50.0,2048,1,dev_fine_lines,SAT-POISSON,6.0883,0.00368,,0.75006,0.00327,0.060996,2.39,0.0051199999999999996,0.0,0.0,130.38,130.384,1.0,6.0883,,,,,
64,bern50,0.05,50.0,2048,1,dev_fine_lines,PRECORRECT,3.5902,0.0,,1.0,-1.0,62441204107732.67,2.39,0.0051199999999999996,0.0,0.0,61.9,61.901,1.0,3.5902,,,,,
64,bern50,0.05,50.0,2048,1,dev_fine_lines,GI,1.9544,0.02528,,,,,2.39,0.0051199999999999996,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,100.0,2048,0,dev_stl_00,RQL,18.4887,0.26095,,0.2384,-0.03004,0.172432,4.62,0.010239999999999999,0.0,0.0,168.1,167.005,1.0,18.4252,OK,0.9296,0.8,0.625,False
64,bern50,0.05,100.0,2048,0,dev_stl_00,POISSON-LIN,18.4355,0.25955,,0.24857,-0.07516,0.110068,4.62,0.010239999999999999,0.0,0.0,137.86,137.857,1.0,18.0625,,,,,
64,bern50,0.05,100.0,2048,0,dev_stl_00,SAT-POISSON,18.4606,0.26077,,0.23906,-0.03008,0.102233,4.62,0.010239999999999999,0.0,0.0,133.47,133.47,1.0,18.4014,,,,,
64,bern50,0.05,100.0,2048,0,dev_stl_00,PRECORRECT,5.9715,0.00012,,1.0,-1.0,59058055849499.445,4.62,0.010239999999999999,0.0,0.0,64.17,64.169,1.0,5.9715,,,,,
64,bern50,0.05,100.0,2048,0,dev_stl_00,GI,3.0049,0.00341,,,,,4.62,0.010239999999999999,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,100.0,2048,0,dev_stl_01,RQL,15.9654,0.15495,,0.30269,0.00243,0.108119,4.77,0.010239999999999999,0.0,0.0,167.12,167.118,1.0,15.965,OK,1.0892,0.075,0.325,False
64,bern50,0.05,100.0,2048,0,dev_stl_01,POISSON-LIN,15.9838,0.15209,,0.30513,-0.04538,0.105494,4.77,0.010239999999999999,0.0,0.0,130.31,130.308,1.0,15.8953,,,,,
64,bern50,0.05,100.0,2048,0,dev_stl_01,SAT-POISSON,15.9773,0.15441,,0.30227,0.00243,0.098133,4.77,0.010239999999999999,0.0,0.0,129.17,129.169,1.0,15.977,,,,,
64,bern50,0.05,100.0,2048,0,dev_stl_01,PRECORRECT,-30.1208,8e-05,,1.00021,-0.99927,11597126.939428,4.77,0.010239999999999999,0.0,0.0,64.22,64.218,0.01,5.5831,,,,,
64,bern50,0.05,100.0,2048,0,dev_stl_01,GI,2.6385,-0.00223,,,,,4.77,0.010239999999999999,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,100.0,2048,0,dev_stl_02,RQL,14.9297,0.14034,,0.37383,-0.00025,0.266942,4.76,0.010239999999999999,0.0,0.0,140.5,140.505,1.0,14.9297,OK,1.0179,0.45,0.3,False
64,bern50,0.05,100.0,2048,0,dev_stl_02,POISSON-LIN,14.912,0.14121,,0.37717,-0.04782,0.167106,4.76,0.010239999999999999,0.0,0.0,118.87,118.87,1.0,14.8524,,,,,
64,bern50,0.05,100.0,2048,0,dev_stl_02,SAT-POISSON,14.9325,0.14019,,0.37371,-0.00024,0.251963,4.76,0.010239999999999999,0.0,0.0,105.6,105.602,1.0,14.9325,,,,,
64,bern50,0.05,100.0,2048,0,dev_stl_02,PRECORRECT,-27.7002,0.0001,,1.0018,-0.99829,161689912.128843,4.76,0.010239999999999999,0.0,0.0,64.55,64.552,0.1,6.3676,,,,,
