family,probe_type,v_idx,err,q_theory
GAM4,nonzero_sum_random,32,0.0496199,0.0506952
GAM4,nonzero_sum_random,33,0.0506111,0.0506952
GAM4,nonzero_sum_random,34,0.0514362,0.0506952
GAM4,nonzero_sum_random,35,0.0466155,0.0506952
GAM4,nonzero_sum_random,36,0.050462,0.0506952
GAM4,nonzero_sum_random,37,0.0532123,0.0506952
GAM4,nonzero_sum_random,38,0.0503493,0.0506952
GAM4,nonzero_sum_random,39,0.052936,0.0506952
GAM4,nonzero_sum_random,40,0.0535793,0.0506952
GAM4,nonzero_sum_random,41,0.0455107,0.0506952
GAM4,nonzero_sum_random,42,0.0528659,0.0506952
GAM4,nonzero_sum_random,43,0.0546765,0.0506952
GAM4,nonzero_sum_random,44,0.0504605,0.0506952
GAM4,nonzero_sum_random,45,0.0521139,0.0506952
GAM4,nonzero_sum_random,46,0.0500113,0.0506952
GAM4,nonzero_sum_random,47,0.0521501,0.0506952
GAM4,structured,48,0.0522493,0.0506952
GAM4,structured,49,0.0497989,0.0506952
GAM4,structured,50,0.0474288,0.0506952
GAM4,structured,51,0.0525284,0.0506952
GAM4,structured,52,0.0512768,0.0506952
GAM4,structured,53,0.0539793,0.0506952
GAM4,structured,54,0.0532215,0.0506952
GAM4,structured,55,0.0483502,0.0506952
GAM4,structured,56,0.0555905,0.0506952
GAM4,structured,57,0.052252,0.0506952
GAM4,structured,58,0.0490918,0.0506952
GAM4,structured,59,0.0522881,0.0506952
GAM4,structured,60,0.0495139,0.0506952
GAM4,structured,61,0.0544794,0.0506952
GAM4,structured,62,0.0500305,0.0506952
GAM4,structured,63,0.0507909,0.0506952
GAM8,zero_mean_random,0,0.0446633,0.0413924
GAM8,zero_mean_random,1,0.0419872,0.0413924
GAM8,zero_mean_random,2,0.0411419,0.0413924
GAM8,zero_mean_random,3,0.0413817,0.0413924
GAM8,zero_mean_random,4,0.0407691,0.0413924
GAM8,zero_mean_random,5,0.0426537,0.0413924
GAM8,zero_mean_random,6,0.0408839,0.0413924
GAM8,zero_mean_random,7,0.0382348,0.0413924
GAM8,zero_mean_random,8,0.0418171,0.0413924
GAM8,zero_mean_random,9,0.0405784,0.0413924
GAM8,zero_mean_random,10,0.0435041,0.0413924
GAM8,zero_mean_random,11,0.043119,0.0413924
GAM8,zero_mean_random,12,0.0415335,0.0413924
GAM8,zero_mean_random,13,0.0402271,0.0413924
GAM8,zero_mean_random,14,0.0436836,0.0413924
GAM8,zero_mean_random,15,0.0393106,0.0413924
GAM8,zero_mean_random,16,0.0405252,0.0413924
GAM8,zero_mean_random,17,0.041602,0.0413924
GAM8,zero_mean_random,18,0.0434827,0.0413924
GAM8,zero_mean_random,19,0.0414838,0.0413924
GAM8,zero_mean_random,20,0.0413927,0.0413924
GAM8,zero_mean_random,21,0.0385034,0.0413924
GAM8,zero_mean_random,22,0.0418929,0.0413924
GAM8,zero_mean_random,23,0.0400318,0.0413924
GAM8,zero_mean_random,24,0.0435041,0.0413924
GAM8,zero_mean_random,25,0.0400661,0.0413924
GAM8,zero_mean_random,26,0.0423496,0.0413924
GAM8,zero_mean_random,27,0.0417375,0.0413924
GAM8,zero_mean_random,28,0.0412393,0.0413924
GAM8,zero_mean_random,29,0.0426239,0.0413924
GAM8,zero_mean_random,30,0.041375,0.0413924
GAM8,zero_mean_random,31,0.0434847,0.0413924
GAM8,nonzero_sum_random,32,0.0449031,0.0413924
GAM8,nonzero_sum_random,33,0.0414418,0.0413924
GAM8,nonzero_sum_random,34,0.0383669,0.0413924
GAM8,nonzero_sum_random,35,0.0464434,0.0413924
GAM8,nonzero_sum_random,36,0.0406916,0.0413924
GAM8,nonzero_sum_random,37,0.0413507,0.0413924
GAM8,nonzero_sum_random,38,0.0415697,0.0413924
GAM8,nonzero_sum_random,39,0.0424345,0.0413924
GAM8,nonzero_sum_random,40,0.0420035,0.0413924
GAM8,nonzero_sum_random,41,0.0382666,0.0413924
GAM8,nonzero_sum_random,42,0.0402516,0.0413924
GAM8,nonzero_sum_random,43,0.0415992,0.0413924
GAM8,nonzero_sum_random,44,0.0403476,0.0413924
GAM8,nonzero_sum_random,45,0.0412895,0.0413924
GAM8,nonzero_sum_random,46,0.0386439,0.0413924
GAM8,nonzero_sum_random,47,0.0417502,0.0413924
GAM8,structured,48,0.0401362,0.0413924
GAM8,structured,49,0.0413893,0.0413924
GAM8,structured,50,0.0377336,0.0413924
GAM8,structured,51,0.0418987,0.0413924
GAM8,structured,52,0.0429964,0.0413924
GAM8,structured,53,0.0407228,0.0413924
GAM8,structured,54,0.0430564,0.0413924
GAM8,structured,55,0.0431713,0.0413924
GAM8,structured,56,0.0429724,0.0413924
GAM8,structured,57,0.0412223,0.0413924
GAM8,structured,58,0.044709,0.0413924
GAM8,structured,59,0.041958,0.0413924
GAM8,structured,60,0.0423033,0.0413924
GAM8,structured,61,0.0439892,0.0413924
GAM8,structured,62,0.0422411,0.0413924
GAM8,structured,63,0.0395634,0.0413924
CORR-LOGN,zero_mean_random,0,94.6685,150.498
CORR-LOGN,zero_mean_random,1,138.347,127.756
CORR-LOGN,zero_mean_random,2,142.748,152.833
CORR-LOGN,zero_mean_random,3,124.535,160.158
CORR-LOGN,zero_mean_random,4,125.232,134.409
CORR-LOGN,zero_mean_random,5,95.9275,113.752
CORR-LOGN,zero_mean_random,6,171.447,157.918
CORR-LOGN,zero_mean_random,7,100.905,110.035
CORR-LOGN,zero_mean_random,8,128.042,146.37
CORR-LOGN,zero_mean_random,9,124.179,129.913
CORR-LOGN,zero_mean_random,10,135.611,132.464
CORR-LOGN,zero_mean_random,11,131.766,129.368
CORR-LOGN,zero_mean_random,12,159.159,157.79
CORR-LOGN,zero_mean_random,13,150.02,151.215
CORR-LOGN,zero_mean_random,14,143.935,146.335
CORR-LOGN,zero_mean_random,15,124.419,135.338
CORR-LOGN,zero_mean_random,16,192.574,133.25
CORR-LOGN,zero_mean_random,17,153.246,145.349
CORR-LOGN,zero_mean_random,18,142.285,136.181
CORR-LOGN,zero_mean_random,19,143.987,158.571
CORR-LOGN,zero_mean_random,20,120.05,126.835
CORR-LOGN,zero_mean_random,21,182.675,172.323
CORR-LOGN,zero_mean_random,22,147.086,119.338
CORR-LOGN,zero_mean_random,23,142.641,157.241
CORR-LOGN,zero_mean_random,24,150.3,142.451
CORR-LOGN,zero_mean_random,25,105.572,113.991
CORR-LOGN,zero_mean_random,26,105.693,136
CORR-LOGN,zero_mean_random,27,77.2502,102.11
CORR-LOGN,zero_mean_random,28,205.353,174.108
CORR-LOGN,zero_mean_random,29,121.298,158.962
CORR-LOGN,zero_mean_random,30,153.947,148.935
CORR-LOGN,zero_mean_random,31,104.134,118.497
CORR-LOGN,nonzero_sum_random,32,114.074,122.499
CORR-LOGN,nonzero_sum_random,33,135.855,137.571
CORR-LOGN,nonzero_sum_random,34,121.083,113.142
CORR-LOGN,nonzero_sum_random,35,113.421,163.504
CORR-LOGN,nonzero_sum_random,36,151.494,177.229
CORR-LOGN,nonzero_sum_random,37,115.247,141.275
CORR-LOGN,nonzero_sum_random,38,110.961,151.216
CORR-LOGN,nonzero_sum_random,39,139.79,162.157
CORR-LOGN,nonzero_sum_random,40,221.806,163.352
CORR-LOGN,nonzero_sum_random,41,141.635,128.648
CORR-LOGN,nonzero_sum_random,42,175.203,172.858
CORR-LOGN,nonzero_sum_random,43,220.327,193.272
CORR-LOGN,nonzero_sum_random,44,171.783,174.587
CORR-LOGN,nonzero_sum_random,45,164.746,167.754
CORR-LOGN,nonzero_sum_random,46,178.88,181.977
CORR-LOGN,nonzero_sum_random,47,155.756,147.32
CORR-LOGN,structured,48,547.227,661.634
CORR-LOGN,structured,49,48.3183,57.651
CORR-LOGN,structured,50,59.1862,57.8016
CORR-LOGN,structured,51,5.77149,5.16067
CORR-LOGN,structured,52,532.105,542.975
CORR-LOGN,structured,53,592.787,539.724
CORR-LOGN,structured,54,520.367,503.166
CORR-LOGN,structured,55,362.971,363.688
CORR-LOGN,structured,56,275.304,363.77
CORR-LOGN,structured,57,299.345,341.027
CORR-LOGN,structured,58,362.299,340.423
CORR-LOGN,structured,59,192.045,232.817
CORR-LOGN,structured,60,455.037,604.143
CORR-LOGN,structured,61,564.088,603.385
CORR-LOGN,structured,62,444.782,495.957
CORR-LOGN,structured,63,438.938,336.924
MIX-LOGN,zero_mean_random,0,242.585,237.555
MIX-LOGN,zero_mean_random,1,216.632,200.727
MIX-LOGN,zero_mean_random,2,254.84,238.316
MIX-LOGN,zero_mean_random,3,301.009,297.684
MIX-LOGN,zero_mean_random,4,252.247,228.306
MIX-LOGN,zero_mean_random,5,198.077,178.905
MIX-LOGN,zero_mean_random,6,274.783,281.994
MIX-LOGN,zero_mean_random,7,165.37,166.839
MIX-LOGN,zero_mean_random,8,292.369,250.141
MIX-LOGN,zero_mean_random,9,195.85,213.706
MIX-LOGN,zero_mean_random,10,183.225,198.072
MIX-LOGN,zero_mean_random,11,257.643,230.935
