image,illum,link,photons,seed,method,PSNR,SSIM,LPIPS,angerr,pearson
cat,GAM4,DT30,10000.0,2,WHITEN-OR,23.626672582935726,0.9296228973091446,nan,7.142250876465494,0.9432414739580891
deer,GAM4,DT30,10000.0,2,WHITEN-OR,26.16861912415483,0.8816759087561564,nan,6.852018265198193,0.9812722376512684
dog,GAM4,DT30,10000.0,2,WHITEN-OR,19.147420756714585,0.6052084202955852,nan,6.925163673246195,0.7046477975170754
horse,GAM4,DT30,10000.0,2,WHITEN-OR,22.772690648124538,0.9079313149419568,nan,6.560357573693097,0.9471244346526743
airplane,GAM4,DT30,10000.0,2,WHITEN-OR,22.68792674046615,0.8261581689507272,nan,6.998305544436218,0.9148981531027806
car,GAM4,DT30,10000.0,2,WHITEN-OR,25.494048113014117,0.9744291481927324,nan,6.538493037186737,0.9827973461400537
ship,GAM4,DT30,10000.0,2,WHITEN-OR,20.479455282983192,0.7907522116535516,nan,7.040570656734692,0.9177221194536719
truck,GAM4,DT30,10000.0,2,WHITEN-OR,24.97564192776271,0.9467284441718989,nan,6.6636534493865724,0.9785902739814069
cat,GAM4,DT30,10000.0,2,WHITEN-LW,23.626672582935726,0.9296228973091446,nan,7.142250876465442,0.9432414739580891
deer,GAM4,DT30,10000.0,2,WHITEN-LW,26.16861912415483,0.8816759087561588,nan,6.8520182651984065,0.9812722376512681
dog,GAM4,DT30,10000.0,2,WHITEN-LW,19.147420756714585,0.6052084202955873,nan,6.9251636732460895,0.7046477975170755
horse,GAM4,DT30,10000.0,2,WHITEN-LW,22.772690648124538,0.9079313149419592,nan,6.560357573693041,0.9471244346526747
airplane,GAM4,DT30,10000.0,2,WHITEN-LW,22.687926740466146,0.8261581689507294,nan,6.998305544436374,0.9148981531027806
car,GAM4,DT30,10000.0,2,WHITEN-LW,25.494048113014117,0.9744291481927323,nan,6.538493037186681,0.9827973461400541
ship,GAM4,DT30,10000.0,2,WHITEN-LW,20.479455282983192,0.790752211653553,nan,7.040570656734744,0.9177221194536719
truck,GAM4,DT30,10000.0,2,WHITEN-LW,24.97564192776271,0.9467284441718995,nan,6.663653449386627,0.9785902739814071
