cell_id,shard_id,side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect,cnr,C_u,Gamma,S_det,S_inc,k_occupancy
M1_RIDGE-SCAT32_00_c0039,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,0.958295357096803,20.0,1024,4,m1_chirp_0,RQL,6.2547,0.02228,,0.67401,-0.00328,1.102362,9.73,0.001024,0.0,0.0,0.1,0.104,6.2542,1.479463,3.849512,2.670473,0.0,31.130189,0.5,0.592143,1.102362,,,,,,,0.215137,0.67304,0.0095005,0.01871002,
M1_RIDGE-SCAT32_00_c0040,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,2.378541330617903,50.0,1024,4,m1_chirp_0,RQL,6.36,0.04547,,0.66583,0.00155,2.083144,35.07,0.0025599999999999998,0.0,0.0,0.12,0.122,6.3603,1.379777,7.913398,3.203878,0.0,31.309667,0.5,1.118978,2.083144,,,,,,,0.215137,1.276412,0.03424454,0.11609825,
M1_RIDGE-SCAT32_00_c0041,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,4.733445981106185,100.0,1024,4,m1_chirp_0,RQL,7.1072,0.18779,,0.61066,0.00649,3.193168,82.37,0.0051199999999999996,0.0,0.0,0.16,0.16,7.1116,1.641134,13.081571,2.614014,0.0,30.986157,0.5,1.715236,3.193168,,,,,,,0.215137,1.954771,0.08043957,0.46208555,
M1_RIDGE-SCAT32_00_c0042,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,9.428122593658626,200.0,1024,4,m1_chirp_0,RQL,7.6464,0.28632,,0.57406,0.00222,4.756575,180.45,0.010239999999999999,0.0,0.0,0.16,0.161,7.6485,1.651444,17.147616,1.753365,0.0,31.462351,0.5,2.555034,4.756575,,,,,,,0.215137,2.892941,0.17622089,1.84077274,
M1_RIDGE-SCAT32_00_c0043,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,13.805668080728806,500.0,1024,4,m1_chirp_0,RQL,9.0135,0.50655,,0.49076,-0.00157,7.588871,465.29,0.025599999999999998,0.0,0.0,0.16,0.163,9.0101,1.724206,54.437169,2.214084,0.0,31.161055,0.5,4.076425,7.588871,,,,,,,0.215137,4.64531,0.45438099,6.73864209,
M1_RIDGE-SCAT32_00_c0044,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,17.540938212081567,1000.0,1024,4,m1_chirp_0,RQL,10.4768,0.66955,,0.4159,-0.00755,10.759344,944.03,0.051199999999999996,0.0,0.0,0.22,0.216,10.4478,1.892858,152.82546,2.837946,0.0,31.105473,0.5,5.779471,10.759344,,,,,,,0.215137,6.61722,0.92190266,17.12370655,
M1_RIDGE-SCAT32_00_c0045,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,22.25454777474566,2000.0,1024,4,m1_chirp_0,RQL,12.1791,0.79553,,0.34193,-0.00511,15.250212,1910.62,0.10239999999999999,0.0,0.0,0.24,0.239,12.1487,1.775317,370.405862,3.624364,0.0,31.199665,0.5,8.191778,15.250212,,,,,,,0.215137,9.412076,1.86584377,43.45039482,
M1_RIDGE-SCAT32_00_c0046,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_1,0.23607534827891397,5.0,1024,0,m1_chirp_1,RQL,6.6574,0.0296,,0.73788,0.02538,0.34665,0.98,0.000256,0.0,0.0,0.09,0.085,6.658,2.965934,0.720549,0.662809,0.0,30.988222,0.5,0.186206,0.34665,,,,,,,0.267096,0.261009,0.00095272,0.00115301,
M1_RIDGE-SCAT32_00_c0047,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_1,0.4678198676956686,10.0,1024,0,m1_chirp_1,RQL,6.5712,0.01687,,0.74486,0.03423,0.631165,3.25,0.000512,0.0,0.0,0.1,0.1,6.5762,1.583647,1.801234,1.558249,0.0,31.297012,0.5,0.339036,0.631165,,,,,,,0.267096,0.476837,0.00317383,0.00456972,
M1_RIDGE-SCAT32_00_c0048,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_1,0.9298147985022086,20.0,1024,0,m1_chirp_1,RQL,6.8004,0.03635,,0.72595,-0.00205,1.093291,9.58,0.001024,0.0,0.0,0.11,0.105,6.7996,2.203198,4.458899,2.704808,0.0,31.176787,0.5,0.587271,1.093291,,,,,,,0.267096,0.82913,0.00935459,0.0181651,
