side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect,c_force
64,bern50,0.05,10.0,4096,0,dev_stl_03,RQL,14.6634,0.14864,,0.66846,0.00492,0.031999,0.48,0.002048,0.0,0.0,2.33,2.333,14.6626,1.0,0.42885,0.435039,0.0,0.999696,0.5,0.015691,0.031999,,,,,,0.5
64,bern50,0.05,10.0,4096,0,dev_text,RQL,13.0709,0.02714,,0.97375,0.00439,0.031999,0.48,0.002048,0.0,0.0,3.14,3.145,13.0709,23.085344,0.436209,0.435039,0.0,0.999696,0.5,0.015691,0.031999,,,,,,0.5
64,bern50,0.05,10.0,4096,0,dev_fine_lines,RQL,6.0668,0.00357,,0.75194,-0.01232,0.031999,0.47,0.002048,0.0,0.0,3.3,3.296,6.0666,1.0,0.432987,0.435039,0.0,0.999696,0.5,0.015691,0.031999,,,,,,0.5
64,bern50,0.05,10.0,4096,1,dev_stl_00,RQL,18.4956,0.27386,,0.23796,0.02741,0.031932,0.49,0.002048,0.0,0.0,3.52,3.521,18.4415,64.0,0.43953,0.435039,0.0,0.999712,0.5,0.015658,0.031932,,,,,,0.5
64,bern50,0.05,10.0,4096,1,dev_stl_01,RQL,16.1779,0.15415,,0.2993,0.05283,0.031932,0.5,0.002048,0.0,0.0,3.52,3.519,16.0628,64.0,0.463139,0.435039,0.0,0.999712,0.5,0.015658,0.031932,,,,,,0.5
64,bern50,0.05,10.0,4096,1,dev_stl_02,RQL,14.908,0.1393,,0.3764,0.03713,0.031932,0.49,0.002048,0.0,0.0,3.41,3.411,14.8703,64.0,0.457646,0.435039,0.0,0.999712,0.5,0.015658,0.031932,,,,,,0.5
64,bern50,0.05,10.0,4096,1,dev_stl_03,RQL,14.7283,0.1454,,0.66362,-0.02642,0.031932,0.46,0.002048,0.0,0.0,2.45,2.447,14.7258,1.0,0.406588,0.435039,0.0,0.999712,0.5,0.015658,0.031932,,,,,,0.5
64,bern50,0.05,10.0,4096,1,dev_text,RQL,13.0746,0.02726,,0.97333,0.01828,0.031932,0.48,0.002048,0.0,0.0,3.41,3.413,13.0746,64.0,0.457927,0.435039,0.0,0.999712,0.5,0.015658,0.031932,,,,,,0.5
64,bern50,0.05,10.0,4096,1,dev_fine_lines,RQL,6.1199,0.00375,,0.74735,-0.00433,0.031932,0.47,0.002048,0.0,0.0,3.11,3.11,6.1197,5.910314,0.435338,0.435039,0.0,0.999712,0.5,0.015658,0.031932,,,,,,0.5
64,bern50,0.05,2000.0,4096,0,dev_stl_00,RQL,16.6767,0.23519,,0.29189,0.00192,0.225457,95.39,0.40959999999999996,0.0,0.0,11.63,11.514,16.6673,1.0,87.475664,86.38688,9.1e-05,0.999684,0.25,0.221108,0.225457,,,,,,0.25
