image,rho_bar,nu,seed,C0,C_hat,c_pick,P_25,P_50,P_max,P_pick,regret
dev_stl_03,0.05,5.0,1,16,1.0,0.5,14.2933,14.714,14.714,14.714,0.0
dev_stl_03,0.6,1000.0,0,16,1.759847,0.5,16.8076,15.9376,16.8076,15.9376,0.87
dev_stl_03,0.6,1000.0,1,16,1.801386,0.5,16.5814,15.7666,16.5814,15.7666,0.8148
dev_stl_03,0.6,100.0,0,16,6.695712,0.5,15.3594,14.9645,15.3594,14.9645,0.3949
dev_stl_03,0.6,100.0,1,16,5.296057,0.5,15.3229,15.0372,15.3229,15.0372,0.2857
dev_stl_03,0.6,10.0,0,16,1.0,0.5,14.9438,14.7912,14.9438,14.7912,0.1526
dev_stl_03,0.6,10.0,1,16,15.773866,0.5,14.5169,14.7699,14.7699,14.7699,0.0
dev_stl_03,0.6,2000.0,0,16,1.387464,0.5,17.6771,16.5329,17.6771,16.5329,1.1442
dev_stl_03,0.6,2000.0,1,16,1.932073,0.5,17.7444,16.7543,17.7444,16.7543,0.9901
dev_stl_03,0.6,200.0,0,16,2.493863,0.5,15.7186,15.3687,15.7186,15.3687,0.3499
dev_stl_03,0.6,200.0,1,16,1.0,0.5,15.1496,14.8066,15.1496,14.8066,0.343
dev_stl_03,0.6,20.0,0,16,1.0,0.5,15.1395,14.9572,15.1395,14.9572,0.1823
dev_stl_03,0.6,20.0,1,16,14.606773,0.5,14.8178,14.8516,14.8516,14.8516,0.0
dev_stl_03,0.6,500.0,0,16,1.10055,0.5,16.377,15.4849,16.377,15.4849,0.8921
dev_stl_03,0.6,500.0,1,16,1.289758,0.5,16.282,15.5206,16.282,15.5206,0.7614
dev_stl_03,0.6,50.0,0,16,1.204071,0.5,15.0427,14.8614,15.0427,14.8614,0.1813
dev_stl_03,0.6,50.0,1,16,3.072064,0.5,14.8372,14.8481,14.8481,14.8481,0.0
dev_stl_03,0.6,5.0,0,16,26.457326,0.25,13.4164,14.747,14.747,13.4164,1.3306
dev_stl_03,0.6,5.0,1,16,1.0,0.5,14.2153,14.7769,14.7769,14.7769,0.0
dev_text,0.05,1000.0,0,16,21.198645,0.25,14.316,13.5467,14.316,14.316,0.0
dev_text,0.05,1000.0,1,16,23.142977,0.25,14.2125,13.5604,14.2125,14.2125,0.0
dev_text,0.05,100.0,0,16,38.44108,0.25,13.4835,13.0987,13.4835,13.4835,0.0
dev_text,0.05,100.0,1,16,1.0,0.5,13.334,13.089,13.334,13.089,0.245
dev_text,0.05,10.0,0,16,23.085344,0.25,13.0685,13.0709,13.0709,13.0685,0.0024
dev_text,0.05,10.0,1,16,64.0,0.25,13.0861,13.0746,13.0861,13.0861,0.0
dev_text,0.05,2000.0,0,16,19.413712,0.25,15.0928,13.8809,15.0928,15.0928,0.0
dev_text,0.05,2000.0,1,16,19.796975,0.25,14.8361,13.8171,14.8361,14.8361,0.0
dev_text,0.05,200.0,0,16,33.421964,0.25,13.5515,13.0878,13.5515,13.5515,0.0
dev_text,0.05,200.0,1,16,17.271036,0.25,13.5117,13.1119,13.5117,13.5117,0.0
dev_text,0.05,20.0,0,16,39.178425,0.25,12.9372,13.0757,13.0757,12.9372,0.1385
